;;;;

					1192				;O jogo Matemático de Paula;Ad-Hoc;
					4.714				;2

					1193				;Conversão entre Bases;Matemática;
					2.186				;3

					1194				;Prefixa, Infixa e Posfixa;Grafos;
					1.031				;3

					1195				;Árvore Binária de Busca;Grafos;
					2.188				;4

					1196				;WERTYU;Ad-Hoc;
					2.224				;2

					1197				;Volta à Faculdade de Física;Matemática;
					5.788				;1

					1198				;O Bravo Guerreiro Hashmat;Matemática;
					5.779				;1

					1199				;Conversão Simples de Base;Matemática;
					2.636				;2

					1200				;Operações em ABP I;Grafos;
					1.010				;4

					1201				;Operações em ABP II;Grafos;
					683				;5

					1202				;Festival das Noites Brancas;Matemática;
					617				;4

					1203				;Pontes de São Petersburgo;Paradigmas;
					683				;4

					1204				;Myachowski, o Futebol Russo;Geometria Computacional;
					93				;5

					1205				;Cerco a Leningrado;Grafos;
					469				;4

					1206				;Desafio de São Petersburgo;Ad-Hoc;
					204				;3

					1207				;Os Benefícios da Vodka;Grafos;
					83				;6

					1208				;As dinastias de São Petersburgo;Grafos;
					118				;6

					1209				;Festas de São Petersburgo;Ad-Hoc;
					529				;3

					1210				;Produção Ótima de Ótima Vodka;Paradigmas;
					391				;5

					1211				;Lista Telefônica Econômica;Estruturas e Bibliotecas;
					1.925				;2

					1212				;Aritmética Primária;Matemática;
					2.731				;2

					1213				;Ones;Matemática;
					1.333				;4

					1214				;Acima da Média;Matemática;
					4.003				;2

					1215				;Primeiro Dicionário de Andy;Estruturas e Bibliotecas;
					1.265				;3

					1216				;Getline One;Ad-Hoc;
					4.333				;1

					1217				;Getline Two - Frutas;Ad-Hoc;
					2.361				;2

					1218				;Getline Three -  Calçados;Ad-Hoc;
					1.504				;2

					1219				;Flores Coloridas;Matemática;
					1.305				;4

					1220				;A Viagem;Matemática;
					720				;3

					1221				;Primo Rápido;Matemática;
					5.979				;2

					1222				;Concurso de Contos;Strings;
					1.748				;3

					1223				;Tobogan de Bolinhas;Geometria Computacional;
					363				;5

					1224				;Cartões;Paradigmas;
					619				;6

					1225				;Coral Perfeito;Ad-Hoc;
					864				;3

					1226				;Elevador Espacial;Paradigmas;
					252				;6

					1227				;Perdido na Noite;Grafos;
					226				;6

					1228				;Grid de Largada;Ad-Hoc;
					1.518				;3

					1229				;Combate ao Câncer;Paradigmas;
					258				;7

					1230				;Integral;Matemática;
					45				;7

					1231				;Palavras;Paradigmas;
					111				;6

					1232				;Ciclo de Rubik;Matemática;
					189				;6

					1233				;Estrela;Matemática;
					606				;6

					1234				;Sentença Dançante;Strings;
					6.173				;2

					1235				;De Dentro para Fora;Strings;
					4.421				;2

					1236				;Compactação de Nulos e Brancos;Estruturas e Bibliotecas;
					458				;4

					1237				;Comparação de Substring;Strings;
					2.384				;3

					1238				;Combinador;Strings;
					6.614				;2

					1239				;Atalhos Bloggo;Strings;
					2.525				;2

					1240				;Encaixa ou Não I;Matemática;
					4.697				;1

					1241				;Encaixa ou Não II;Strings;
					5.224				;2

					1242				;Ácido Ribonucleico Alienígena;Estruturas e Bibliotecas;
					713				;3

					1243				;O Quão Fácil é...;Strings;
					972				;3

					1244				;Ordenação por Tamanho;Estruturas e Bibliotecas;
					2.822				;3

					1245				;Botas Perdidas;Ad-Hoc;
					3.546				;2

					1246				;Estacionamento;Ad-Hoc;
					890				;3

					1247				;Guarda Costeira;Matemática;
					2.454				;2

					1248				;Plano de Dieta;Strings;
					1.471				;2

					1249				;Rot13;Strings;
					3.419				;2

					1250				;KiloMan;Ad-Hoc;
					2.038				;2

					1251				;Diga-me a Frequência;Estruturas e Bibliotecas;
					1.739				;3

					1252				;Sort! Sort!! e Sort!!!;Estruturas e Bibliotecas;
					1.507				;4

					1253				;Cifra de César;Strings;
					7.458				;2

					1254				;Substituição de Tag;Strings;
					780				;3

					1255				;Frequência de Letras;Strings;
					3.225				;2

					1256				;Tabelas Hash;Estruturas e Bibliotecas;
					2.414				;3

					1257				;Array Hash;Strings;
					3.098				;3

					1258				;Camisetas;Estruturas e Bibliotecas;
					1.884				;3

					1259				;Pares e Ímpares;Estruturas e Bibliotecas;
					5.090				;3

					1260				;Espécies de Madeira;Estruturas e Bibliotecas;
					1.466				;3

					1261				;Pontos de Feno;Estruturas e Bibliotecas;
					1.313				;3

					1262				;Leitura Múltipla;Strings;
					1.594				;2

					1263				;Aliteração;Strings;
					2.030				;2

					1264				;Um Problema Fácil!;Matemática;
					320				;5

					1265				;DJ da Computação;Paradigmas;
					132				;5

					1266				;Tornado!;Ad-Hoc;
					1.051				;3

					1267				;Biblioteca Pascal;Ad-Hoc;
					2.014				;2

					1268				;Missão Impossível;Geometria Computacional;
					21				;9

					1269				;ICPC Ataca Novamente;Paradigmas;
					47				;6

					1270				;Fibra Óptica;Grafos;
					100				;8

					1271				;Onde estão meus Genes;Ad-Hoc;
					651				;4

					1272				;Mensagem Oculta;Strings;
					4.233				;2

					1273				;Justificador;Strings;
					2.816				;2

					1274				;P-Networks;Estruturas e Bibliotecas;
					87				;6

					1275				;Light Up;Grafos;
					25				;8

					1276				;Faixa de Letras;Strings;
					911				;3

					1277				;Pouca Frequência;Strings;
					1.747				;2

					1278				;Justificador II;Strings;
					1.107				;3

					1279				;Ano Bissexto ou Ano não Bissexto;Matemática;
					1.162				;4

					1280				;Amigos;Matemática;
					88				;6

					1281				;Ida à Feira;Estruturas e Bibliotecas;
					3.294				;2

					1282				;Organizando Pacotes;Paradigmas;
					167				;9

					1283				;Caixas e Pedras;Paradigmas;
					29				;9

					1284				;Digitando no Telefone Celular;Strings;
					455				;6

					1285				;Dígitos Diferentes;Ad-Hoc;
					2.168				;3

					1286				;Motoboy;Paradigmas;
					1.932				;4

					1287				;Processador Amigável de Inteiros;Strings;
					1.000				;3

					1288				;Canhão de Destruição;Paradigmas;
					1.421				;4

					1289				;Qual é a Probabilidade?;Matemática;
					268				;4

					1290				;Caixas Muito Especiais;Ad-Hoc;
					158				;4

					1291				;Será Isso Integração?;Geometria Computacional;
					445				;4

					1292				;Problema com um Pentágono;Geometria Computacional;
					956				;4

					1293				;Romeu e Julieta!;Geometria Computacional;
					64				;5

					1294				;A Maior e Menor Caixa;Geometria Computacional;
					350				;5

					1295				;Problema dos Pares Mais Próximos;Geometria Computacional;
					975				;4

					1296				;Medianas;Geometria Computacional;
					339				;6

					1297				;Proteção do Meio Ambiente;Matemática;
					137				;7

					1298				;Corrija o Labirinto;Grafos;
					79				;7

					1299				;Jogo de Mosaicos;Paradigmas;
					37				;7

					1300				;Horas e Minutos;Ad-Hoc;
					1.915				;2

					1301				;Produto do Intervalo;Estruturas e Bibliotecas;
					901				;5

					1302				;Juntando Casais;Grafos;
					138				;7

					1303				;Spurs Rocks;Estruturas e Bibliotecas;
					885				;2

					1304				;Velocidade Média;Matemática;
					660				;2

					1305				;Arredondamento por Valor de Corte;Strings;
					1.270				;2

					1306				;Numerando Estradas;Matemática;
					1.109				;2

					1307				;Tudo o que Você Precisa é Amor;Matemática;
					1.228				;3

					1308				;Guerreiros Etruscos Nunca Jogam Xadrez;Matemática;
					1.230				;3

					1309				;Formatação Monetária;Matemática;
					1.558				;2

					1310				;Lucro;Paradigmas;
					2.089				;3

					1311				;Companheiros de Exército;Ad-Hoc;
					384				;4

					1312				;Empilhamento de Bolas;Paradigmas;
					326				;6

					1313				;Dicionário Portuñol;Strings;
					115				;8

					1314				;Labirintos de Cerca Viva;Grafos;
					259				;5

					1315				;Não tão Convexo;Geometria Computacional;
					37				;8

					1316				;Compra Livre de Impostos;Matemática;
					65				;6

					1317				;Eu Odeio SPAM, Mas Algumas Pessoas Amam;Grafos;
					193				;5

					1318				;Bilhetes Falsos;Ad-Hoc;
					2.655				;2

					1319				;Garota Hiperativa;Paradigmas;
					112				;6

					1320				;Metrô Engenhoso;Ad-Hoc;
					47				;6

					1321				;Jollo;Ad-Hoc;
					426				;4

					1322				;Desejos das Crianças;Grafos;
					170				;7

					1323				;Feynman;Matemática;
					3.590				;2

					1324				;Bóson de Higgs;Matemática;
					17				;7

					1325				;Mapas Bolha;Paradigmas;
					86				;9

					1326				;Química;Estruturas e Bibliotecas;
